File,Floor Area,Height,Volume,Number of Floors,External Wall Area,Ground Floor Area,Roof Area,Window Area,Total Heat Capacity,u-Value (Wall),u-Value (Ground Floor),u-Value (Roof),u-Value (Internal Floor),u-Value (Internal Wall),u-Value (Windows),g-Value (Windows),Heat Capacity (Floor Slabs),Infiltration,Permeability,Internal Mass,WWR (North),WWR (East),WWR (West),WWR (South),Building:Start Time,Building:Operating Hours,Building:Light Heat Gain,Building:Equipment Heat Gain,Building:Occupancy,Building:Heating Setpoint,Building:Cooling Setpoint,Boiler Efficiency,Heating COP,Cooling COP,Heating Load,Cooling Load,Lights Load,Thermal Energy,Operational Energy,EUI
Shape1_83,2148.36,3.7421875,8039.5659375,4,1051.35877010901,537.09,537.09,357.574784543847,2421579405.22736,0.23828125,0.21796875,0.20234375,0.4921875,0.5328125,0.72109375,0.30703125,985.9375,0.286,6.8671875,110.15625,0.265625,0.115625,0.428125,0.190625,7.015625,11,8.84375,11.34375,22.6875,20,25,0.96828125,3.203125,3.171875,6705.1667975011,2539.5326679931,6892.8453689538,82787.470608114,143168.796040149,66.6409708057073
Shape1_82,1588.47,3.2421875,5150.1162544,3,610.043252859108,529.49,529.49,305.469030579771,1632694232.62814,0.18828125,0.16796875,0.15234375,0.5921875,0.4328125,0.87109375,0.45703125,885.9375,0.381,8.3671875,80.15625,0.465625,0.315625,0.228125,0.390625,8.015625,10,6.84375,13.34375,18.6875,20,25,0.93828125,4.203125,4.171875,5304.5685208598,2398.9860432715,3607.4693525374,66684.1557939874,98285.5873222151,61.8743742860835
Shape1_57,2884.4,3.828125,11041.84375,4,1050.94596835351,721.1,721.1,597.061918707505,2810642390.13607,0.2203125,0.1515625,0.2453125,0.590625,0.459375,0.7140625,0.5015625,828.125,0.276,7.171875,117.1875,0.38125,0.40625,0.43125,0.24375,7.34375,11.3333333333333,8.0625,10.3125,17.375,20,25,0.9415625,3.34375,3.03125,8655.8112178917,5355.5439271692,7938.7026043682,121215.429417285,190758.46423155,66.1345389791813
Shape1_30,727.83,3.46875,2524.6603125,3,467.647100507325,242.61,242.61,195.751343469636,864722259.564229,0.234375,0.153125,0.215625,0.41875,0.50625,0.953125,0.440625,943.75,0.38,7.03125,69.375,0.3875,0.4625,0.1375,0.1875,8.5625,11.1666666666667,6.375,12.375,20.25,20,25,0.974375,3.9375,3.5625,3504.8103662159,1061.6094956614,1562.859768827,41039.7864999569,54730.4380748814,75.1967328564107
Shape1_16,2088.45,3.65625,7635.8953125,5,1018.12294912552,417.69,417.69,476.369432586378,2161812827.04135,0.203125,0.234375,0.196875,0.43125,0.41875,0.821875,0.496875,931.25,0.263,6.09375,80.625,0.4125,0.3375,0.4125,0.1125,8.1875,11.1666666666667,6.625,10.625,22.75,20,25,0.963125,4.3125,3.6875,5873.3167134536,4064.666672939,4877.1098495423,76452.0935603829,119175.575842373,57.0641269086516
Shape1_0,288,3,864,2,259.2,144,144,28.8,374512320,0.15,0.15,0.15,0.4,0.4,0.7,0.3,800,0.45,6,60,0.1,0.1,0.1,0.1,7,10,6,10,16,20,25,0.92,2.5,2.5,1510.4211969182,129.2076527154,594.8850682651,19184.7165231712,24395.9097211735,84.7080198651856
Shape1_49,1749.56,3.640625,6369.491875,4,1039.33571737058,437.39,437.39,200.296919900812,1972098467.27273,0.2265625,0.2453125,0.1515625,0.528125,0.596875,0.7328125,0.4078125,965.625,0.325,7.734375,68.4375,0.25625,0.13125,0.15625,0.11875,8.71875,11.6666666666667,8.3125,12.0625,16.875,20,25,0.9453125,4.21875,3.40625,6134.5271010492,1889.2095865618,5140.5552785978,78208.7785665454,123240.042807062,70.4405923815486
Shape1_48,854.52,3.140625,2683.726875,2,341.977264998949,427.26,427.26,192.714152077632,965636976.675458,0.1765625,0.1953125,0.2015625,0.428125,0.496875,0.8828125,0.5578125,865.625,0.382,6.234375,98.4375,0.45625,0.33125,0.35625,0.31875,7.71875,12.6666666666667,6.3125,10.0625,20.875,20,25,0.9753125,3.21875,4.40625,3312.7482355876,1467.7718593194,1925.4669634559,39670.418772587,56537.5093724607,66.1628860324635
Shape1_31,2441.96,3.96875,9691.52875,4,1119.70831221559,610.49,610.49,463.822839851533,2477695465.73452,0.184375,0.203125,0.165625,0.51875,0.40625,0.803125,0.590625,843.75,0.316,8.53125,99.375,0.1875,0.2625,0.3375,0.3875,7.5625,12.1666666666667,8.375,10.375,16.25,20,25,0.944375,2.9375,2.5625,7969.7738992734,4703.9477248132,7578.1457051259,116665.682858432,183050.239235335,74.9603757782009
Shape1_17,2599.71,3.15625,8205.3346875,3,871.051003557416,866.57,866.57,243.894280996077,2592947678.62277,0.153125,0.184375,0.246875,0.53125,0.51875,0.971875,0.346875,831.25,0.331,7.59375,110.625,0.2125,0.1375,0.2125,0.3125,7.1875,10.1666666666667,8.625,12.625,18.75,20,25,0.933125,3.3125,2.6875,7020.5995668349,3021.0486759779,7990.0325129835,96341.7099254232,166334.394739159,63.9819036504682
