File,Floor Area,Height,Volume,Number of Floors,External Wall Area,Ground Floor Area,Roof Area,Window Area,Total Heat Capacity,u-Value (Wall),u-Value (Ground Floor),u-Value (Roof),u-Value (Internal Floor),u-Value (Internal Wall),u-Value (Windows),g-Value (Windows),Heat Capacity (Floor Slabs),Infiltration,Permeability,Internal Mass,WWR (North),WWR (East),WWR (West),WWR (South),Building:Start Time,Building:Operating Hours,Building:Light Heat Gain,Building:Equipment Heat Gain,Building:Occupancy,Building:Heating Setpoint,Building:Cooling Setpoint,Boiler Efficiency,Heating COP,Cooling COP,Heating Load,Cooling Load,Lights Load,Thermal Energy,Operational Energy,EUI
Shape0_89,2495.24,3.8046875,9493.6084375,4,1083.55597267621,623.81,623.81,672.079004910702,2671107687.70053,0.24921875,0.18515625,0.23203125,0.5234375,0.5421875,0.96953125,0.55546875,951.5625,0.297,7.1015625,102.65625,0.409375,0.490625,0.290625,0.340625,7.8359375,11.6666666666667,6.59375,12.78125,21.5625,20,25,0.97296875,2.828125,3.984375,8126.3237507558,5575.9401464358,5051.2476648866,103018.715577841,147267.645122247,59.0194310456097
Shape0_88,698.02,3.3046875,2306.7397138,2,356.879214369485,349.01,349.01,166.980194534798,803452626.965092,0.19921875,0.23515625,0.18203125,0.4234375,0.4421875,0.81953125,0.40546875,851.5625,0.499,8.6015625,72.65625,0.209375,0.290625,0.490625,0.140625,7.3359375,11.3333333333333,8.59375,10.78125,17.5625,20,25,0.94296875,3.828125,2.984375,3963.4597792435,931.7813279974,2058.5098416824,47670.7664949843,65703.3127081221,94.1281234178421
Shape0_46,1756.92,3.203125,5627.6373032,3,841.529473073795,585.64,585.64,321.205555872554,1886433794.43377,0.1578125,0.1859375,0.2109375,0.496875,0.434375,0.7703125,0.5859375,853.125,0.418,8.765625,98.4375,0.31875,0.21875,0.24375,0.29375,7.109375,11.6666666666667,7.9375,12.3125,23.875,20,25,0.9640625,3.90625,2.53125,5591.8265836362,3423.9611613704,5016.7124178011,76993.4744581444,120939.875238082,68.8363017314858
Shape0_45,2890.12,3.953125,11425.005625,4,1158.23413316967,722.53,722.53,541.926039010493,2729326595.19598,0.1828125,0.1609375,0.1859375,0.446875,0.484375,0.8453125,0.5109375,803.125,0.257,6.515625,83.4375,0.41875,0.31875,0.14375,0.39375,7.359375,11.3333333333333,8.9375,11.3125,17.875,20,25,0.9790625,3.40625,4.03125,7336.7027718964,5748.4136742452,9369.8894335464,100394.36341692,182474.594854787,63.1373765984757
Shape0_33,1100.74,3.765625,4144.9740625,2,472.627283806965,550.37,550.37,234.105108515559,1301650219.13476,0.2140625,0.1921875,0.1796875,0.434375,0.496875,0.8640625,0.5671875,890.625,0.384,7.453125,117.1875,0.29375,0.34375,0.36875,0.31875,7.796875,11.6666666666667,9.6875,11.0625,21.375,20,25,0.9753125,2.53125,4.15625,4475.3556020877,1834.9667134805,3527.9425788002,53132.9832351335,84037.7602254232,76.3466033990073
Shape0_16,1206.4,3.46875,4184.7,4,736.915157914065,301.6,301.6,285.394898722491,1346162760.96787,0.178125,0.246875,0.203125,0.56875,0.49375,0.746875,0.328125,881.25,0.371,7.96875,99.375,0.2375,0.1125,0.4125,0.3375,7.09375,11.6666666666667,8.375,12.375,20.25,20,25,0.966875,2.5625,3.9375,4445.6308925726,2144.1353611824,3487.8124951181,55530.6719552057,86083.9094124402,71.3560257065983
Shape0_10,2298.42,3.0625,7038.91125,3,789.0224322017,766.14,766.14,249.16497965739,2477241651.42286,0.18125,0.20625,0.16875,0.4375,0.4375,0.86875,0.43125,962.5,0.358,8.0625,101.25,0.125,0.375,0.125,0.325,7.5625,11,7.75,12.75,17.5,20,25,0.93125,2.625,3.375,6342.5371613517,3185.8070916787,6641.3335403057,88402.2531910774,146580.335004155,63.7743906701801
Shape0_83,1806.64,3.8671875,6986.615625,4,1126.94688891049,451.66,451.66,391.465782257006,1886122890.12017,0.21796875,0.22890625,0.23828125,0.5359375,0.5046875,0.83828125,0.49921875,814.0625,0.367,8.7890625,61.40625,0.434375,0.215625,0.265625,0.115625,7.6484375,11.3333333333333,7.34375,10.03125,20.0625,20,25,0.96921875,2.953125,4.109375,8897.1898461425,2064.5849811041,4248.1201560953,102231.887495299,139445.420062694,77.1849511040902
Shape0_82,2181.66,3.3671875,7346.0564632,3,802.52100215976,727.22,727.22,415.727220513649,2288699888.18297,0.16796875,0.17890625,0.18828125,0.4359375,0.4046875,0.98828125,0.34921875,914.0625,0.332,7.2890625,91.40625,0.234375,0.415625,0.465625,0.315625,7.1484375,11.6666666666667,9.34375,12.03125,16.0625,20,25,0.93921875,3.953125,3.109375,7011.7098174701,3903.9066192945,7396.0004212871,98036.5661562975,162825.529846772,74.6337787954
Shape0_54,2544.76,3.109375,7912.613125,4,1315.265749242,636.19,636.19,368.274385792391,2713471284.0277,0.2296875,0.2453125,0.1890625,0.465625,0.528125,0.7796875,0.4078125,846.875,0.365,8.109375,119.0625,0.10625,0.38125,0.20625,0.18125,7.265625,11.3333333333333,9.3125,13.9375,16.125,20,25,0.9509375,4.34375,3.59375,7606.319681136,4442.2478819509,8694.1911632698,104261.082412314,180422.197002557,70.8994942558658
