File,Floor Area,Height,Volume,Number of Floors,External Wall Area,Ground Floor Area,Roof Area,Window Area,Total Heat Capacity,u-Value (Wall),u-Value (Ground Floor),u-Value (Roof),u-Value (Internal Floor),u-Value (Internal Wall),u-Value (Windows),g-Value (Windows),Heat Capacity (Floor Slabs),Infiltration,Permeability,Internal Mass,WWR (North),WWR (East),WWR (West),WWR (South),Building:Start Time,Building:Operating Hours,Building:Light Heat Gain,Building:Equipment Heat Gain,Building:Occupancy,Building:Heating Setpoint,Building:Cooling Setpoint,Boiler Efficiency,Heating COP,Cooling COP,Heating Load,Cooling Load,Lights Load,Thermal Energy,Operational Energy,EUI
Shape1_83,2148.36,3,8039.565938,3,1051.35877,300,537.09,357.5747845,2421579405,0.23828125,0.2,0.2,0.4921875,0.5328125,0.72109375,0.30703125,985.9375,0.286,7.5,110.15625,0.3,0.3,0.3,0.3,7.015625,11,8.84375,11.34375,22.6875,20,25,0.96828125,3.203125,3.171875,3.121062949,2539.532668,6892.845369,82787.47061,143168.796,66.64097081
Shape1_82,1588.47,3,5150.116254,3,610.0432529,300,529.49,305.4690306,1632694233,0.18828125,0.2,0.2,0.5921875,0.4328125,0.87109375,0.45703125,885.9375,0.381,7.5,80.15625,0.3,0.3,0.3,0.3,8.015625,10,6.84375,13.34375,18.6875,20,25,0.93828125,4.203125,4.171875,3.339420021,2398.986043,3607.469353,66684.15579,98285.58732,61.87437429
Shape1_57,2884.4,3,11041.84375,3,1050.945968,300,721.1,597.0619187,2810642390,0.2203125,0.2,0.2,0.590625,0.459375,0.7140625,0.5015625,828.125,0.276,7.5,117.1875,0.3,0.3,0.3,0.3,7.34375,11.33333333,8.0625,10.3125,17.375,20,25,0.9415625,3.34375,3.03125,3.00090529,5355.543927,7938.702604,121215.4294,190758.4642,66.13453898
Shape1_30,727.83,3,2524.660313,3,467.6471005,300,242.61,195.7513435,864722259.6,0.234375,0.2,0.2,0.41875,0.50625,0.953125,0.440625,943.75,0.38,7.5,69.375,0.3,0.3,0.3,0.3,8.5625,11.16666667,6.375,12.375,20.25,20,25,0.974375,3.9375,3.5625,4.815424435,1061.609496,1562.859769,41039.7865,54730.43807,75.19673286
Shape1_16,2088.45,3,7635.895313,3,1018.122949,300,417.69,476.3694326,2161812827,0.203125,0.2,0.2,0.43125,0.41875,0.821875,0.496875,931.25,0.263,7.5,80.625,0.3,0.3,0.3,0.3,8.1875,11.16666667,6.625,10.625,22.75,20,25,0.963125,4.3125,3.6875,2.81228505,4064.666673,4877.10985,76452.09356,119175.5758,57.06412691
Shape1_0,288,3,864,3,259.2,300,144,28.8,374512320,0.15,0.2,0.2,0.4,0.4,0.7,0.3,800,0.45,7.5,60,0.3,0.3,0.3,0.3,7,10,6,10,16,20,25,0.92,2.5,2.5,5.244518045,129.2076527,594.8850683,19184.71652,24395.90972,84.70801987
Shape1_49,1749.56,3,6369.491875,3,1039.335717,300,437.39,200.2969199,1972098467,0.2265625,0.2,0.2,0.528125,0.596875,0.7328125,0.4078125,965.625,0.325,7.5,68.4375,0.3,0.3,0.3,0.3,8.71875,11.66666667,8.3125,12.0625,16.875,20,25,0.9453125,4.21875,3.40625,3.506325648,1889.209587,5140.555279,78208.77857,123240.0428,70.44059238
Shape1_48,854.52,3,2683.726875,3,341.977265,300,427.26,192.7141521,965636976.7,0.1765625,0.2,0.2,0.428125,0.496875,0.8828125,0.5578125,865.625,0.382,7.5,98.4375,0.3,0.3,0.3,0.3,7.71875,12.66666667,6.3125,10.0625,20.875,20,25,0.9753125,3.21875,4.40625,3.876735753,1467.771859,1925.466963,39670.41877,56537.50937,66.16288603
Shape1_31,2441.96,3,9691.52875,3,1119.708312,300,610.49,463.8228399,2477695466,0.184375,0.2,0.2,0.51875,0.40625,0.803125,0.590625,843.75,0.316,7.5,99.375,0.3,0.3,0.3,0.3,7.5625,12.16666667,8.375,10.375,16.25,20,25,0.944375,2.9375,2.5625,3.263679134,4703.947725,7578.145705,116665.6829,183050.2392,74.96037578
Shape1_17,2599.71,3,8205.334688,3,871.0510036,300,866.57,243.894281,2592947679,0.153125,0.2,0.2,0.53125,0.51875,0.971875,0.346875,831.25,0.331,7.5,110.625,0.3,0.3,0.3,0.3,7.1875,10.16666667,8.625,12.625,18.75,20,25,0.933125,3.3125,2.6875,2.700531816,3021.048676,7990.032513,96341.70993,166334.3947,63.98190365
